"method","bias","mae","rmse","spearman","accuracy","rules"
2,-0.00761510795600723,0.0843456693201414,0.114956561742995,0.587100651639235,0.588888888888889,0
3,-0.00743217007062321,0.0853829069485411,0.122923521361757,0.722646902175374,0.537777777777778,15
4,-0.00770785675226515,0.0861455847031151,0.1254421211095,0.502265012999601,0.317777777777778,14
1,-0.0150808976183777,0.0888229183523978,0.110331675308197,0.668574359615135,0.697777777777778,0
2,-0.00933802559737466,0.0771189135648975,0.106817572067092,0.696721006629319,0.684444444444444,0
3,-0.00862683691424054,0.0825227953265968,0.123572019406732,0,0.782222222222222,0
4,-0.00862683691424054,0.0825227953265968,0.123572019406732,0,0.782222222222222,0
1,-0.00069353923856079,0.0768712654446445,0.097691837358887,0.622689966507545,0.573333333333333,0
2,-0.00995489978239967,0.0851798891326909,0.116463680789283,0.307838920967896,0.473333333333333,0
3,-0.0124165965002569,0.0849116056578441,0.120658250037248,0.241409130282067,0.253333333333333,13
4,-0.0122935811806717,0.0854187409484732,0.121138944679293,0.161283072138596,0.253333333333333,15
1,0.0073958544044926,0.072641659908799,0.0906966409496921,0.740831450074232,0.588888888888889,0
2,-0.0153738810401041,0.087524367950592,0.118108260941725,0.495659946041545,0.722222222222222,0
3,-0.0116172891162958,0.0875134693886115,0.124785287382204,0,0.746666666666667,0
4,-0.0116172891162958,0.0875134693886115,0.124785287382204,0,0.746666666666667,0
1,0.0591551892423517,0.103923616432684,0.127765605743609,0.631017237588718,0.475555555555556,0
2,-0.00881469581925756,0.0802769654134105,0.105348625943321,0.611257390293969,0.64,0
3,-0.00536506179436097,0.0821920316640129,0.115145304379025,0.654392112430779,0.475555555555556,15
4,-0.00679273990445541,0.084475303434375,0.119601159661424,0.573749481258659,0.24,9
1,-0.0191510229388186,0.0774465481474035,0.097246728461118,0.74851654218322,0.704444444444444,0
2,-0.0232459158558329,0.0935466689959991,0.126740729546322,0.358491001629099,0.573333333333333,0
3,-0.0311722068896241,0.0911066091417044,0.13499975540557,0,0.72,0
4,-0.0311722068896241,0.0911066091417044,0.13499975540557,0,0.72,0
1,0.032114488038276,0.124950641344226,0.146153575278645,0.136774599020606,0.453333333333333,0
2,-0.00178023699311473,0.0942897622036623,0.124154354008053,0.416067867220472,0.415555555555556,0
3,-0.0046923468185764,0.0963720404160408,0.128393465474345,0.6988770557597,0.257777777777778,14
4,-0.000973890851154308,0.0996505483241168,0.130082728365936,0.406524835781477,0.257777777777778,14
1,0.00820530164098752,0.0799224195602895,0.09646591849505,0.72483624937754,0.613333333333333,0
2,-0.0104565473204268,0.085400270456323,0.121062958200347,0.548074189508543,0.564444444444444,0
3,-0.013379464675414,0.0864641237324477,0.129517375521783,0,0.773333333333333,0
4,-0.013379464675414,0.0864641237324477,0.129517375521783,0,0.773333333333333,0
1,0.0459653863976812,0.102128945726626,0.124049788168793,0.545983377365541,0.517777777777778,0
2,0.00293048728976851,0.0927998441444205,0.119396154347837,0.403303509251337,0.433333333333333,0
3,0.00745362002754714,0.0975646393750395,0.125120423262176,0.480773878280949,0.248888888888889,14
4,0.00397827993143426,0.0967080350786359,0.126160322964059,0.338303989492569,0.248888888888889,15
1,-0.0138648614850592,0.0916240254163768,0.113593211128476,0.624791167084953,0.64,0
2,-0.0324175440341016,0.0874742232632062,0.121497857110598,0.377048120658314,0.802222222222222,0
3,-0.0114554196412065,0.080931485573125,0.122676037470081,0,0.78,0
4,-0.0114554196412065,0.080931485573125,0.122676037470081,0,0.78,0
1,5.76222288067916e-05,0.0949979106533892,0.118996596215385,0.514794130724209,0.604444444444444,0
2,-0.020824970265439,0.0848627150116564,0.11731004976568,0.442359018072727,0.662222222222222,0
